Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
trent-sherfield,2018,ArizonaCardinals,13,19,210,11.1,21,1,11,57.89,1,0
sterling-shepard,2018,NewYorkGiants,16,66,872,13.2,58,4,47,71.21,12,3
russell-shepard,2018,NewYorkGiants,12,10,188,18.8,49,2,7,70,4,2
tajae-sharpe,2018,TennesseeTitans,16,26,316,12.2,28,2,22,84.62,2,0
adam-shaheen,2018,ChicagoBears,6,5,48,9.6,23,1,3,60,1,0
ricky-seals-jones,2018,ArizonaCardinals,15,34,343,10.1,40,1,14,41.18,5,1
jaleel-scott,2018,BaltimoreRavens,--,--,--,--,--,--,--,--,--,--
da-mari-scott,2018,BuffaloBills,3,--,--,--,--,--,--,--,--,--
boston-scott,2018,PhiladelphiaEagles,2,--,--,--,--,--,--,--,--,--
dalton-schultz,2018,DallasCowboys,11,12,116,9.7,17,0,6,50,0,0
matt-schaub,2018,AtlantaFalcons,3,1,-7,-7,-7,0,0,0,0,0
bo-scarbrough,2018,SeattleSeahawks,0,--,--,--,--,--,--,--,--,--
eric-saubert,2018,AtlantaFalcons,16,5,48,9.6,17,0,2,40,0,0
mohamed-sanu,2018,AtlantaFalcons,16,66,838,12.7,44,4,41,62.12,7,2
jason-sanders,2018,MiamiDolphins,16,--,--,--,--,--,--,--,--,--
emmanuel-sanders,2018,DenverBroncos,12,71,868,12.2,64,4,37,52.11,13,4
jaylen-samuels,2018,PittsburghSteelers,14,26,199,7.7,23,3,10,38.46,2,0
curtis-samuel,2018,CarolinaPanthers,13,39,494,12.7,53,5,24,61.54,6,1
ty-sambrailo,2018,AtlantaFalcons,16,--,--,--,--,--,--,--,--,--
malik-turner,2018,SeattleSeahawks,6,2,20,10,19,0,1,50,0,0
zeke-turner,2018,ArizonaCardinals,16,--,--,--,--,--,--,--,--,--
de-lance-turner,2018,BaltimoreRavens,4,2,17,8.5,10,0,0,0,0,0
robert-turbin,2018,IndianapolisColts,2,1,3,3,3,0,0,0,0,0
laquon-treadwell,2018,MinnesotaVikings,15,35,302,8.6,22,1,16,45.71,1,0
ross-travis,2018,IndianapolisColts,--,--,--,--,--,--,--,--,--,--
robert-tonyan,2018,GreenBayPackers,16,4,77,19.3,54,1,3,75,1,1
eric-tomlinson,2018,NewYorkJets,15,8,72,9,24,0,3,37.5,1,0
levine-toilolo,2018,DetroitLions,16,21,263,12.5,39,1,16,76.19,2,0
chris-thompson,2018,WashingtonRedskins,10,41,268,6.5,23,1,12,29.27,1,0
mike-thomas-2,2018,LosAngelesRams,1,--,--,--,--,--,--,--,--,--
michael-thomas,2018,NewOrleansSaints,16,125,1405,11.2,72,9,75,60,17,2
logan-thomas,2018,BuffaloBills,12,12,77,6.4,24,0,3,25,1,0
jordan-thomas,2018,HoustonTexans,16,20,215,10.8,39,4,12,60,2,0
ian-thomas,2018,CarolinaPanthers,16,36,333,9.3,31,2,20,55.56,4,0
demaryius-thomas,2018,HoustonTexans,15,59,677,11.5,45,5,37,62.71,9,2
de-anthony-thomas,2018,KansasCityChiefs,5,3,29,9.7,15,1,3,100,0,0
adam-thielen,2018,MinnesotaVikings,16,113,1373,12.2,68,9,74,65.49,17,3
wyatt-teller,2018,BuffaloBills,8,--,--,--,--,--,--,--,--,--
tyrod-taylor,2018,ClevelandBrowns,4,--,--,--,--,--,--,--,--,--
trent-taylor,2018,SanFrancisco49ers,14,26,215,8.3,23,1,11,42.31,1,0
taywan-taylor,2018,TennesseeTitans,13,37,466,12.6,55,1,19,51.35,3,2
golden-tate,2018,PhiladelphiaEagles,15,74,795,10.7,67,4,33,44.59,9,2
auden-tate,2018,CincinnatiBengals,7,4,35,8.8,15,0,2,50,0,0
ryan-tannehill,2018,MiamiDolphins,11,1,3,3,3,1,1,100,0,0
c-j-uzomah,2018,CincinnatiBengals,16,43,439,10.2,29,3,21,48.84,6,0
danny-vitale,2018,GreenBayPackers,5,1,2,2,2,0,1,100,0,0
alejandro-villanueva,2018,PittsburghSteelers,16,1,2,2,2,1,1,100,0,0
vita-vea,2018,TampaBayBuccaneers,13,--,--,--,--,--,--,--,--,--
nick-vannett,2018,SeattleSeahawks,15,29,269,9.3,32,3,17,58.62,1,0
marquez-valdes-scantling,2018,GreenBayPackers,16,38,581,15.3,60,2,23,60.53,8,4
jarius-wright,2018,CarolinaPanthers,16,43,447,10.4,33,1,25,58.14,8,0
robert-woods,2018,LosAngelesRams,16,86,1219,14.2,39,6,66,76.74,20,0
javon-wims,2018,ChicagoBears,4,4,32,8,16,0,2,50,0,0
shaun-wilson,2018,TampaBayBuccaneers,5,3,5,1.7,5,0,0,0,0,0
russell-wilson,2018,SeattleSeahawks,16,1,-11,-11,-11,0,0,0,0,0
luke-willson,2018,DetroitLions,14,13,87,6.7,13,0,5,38.46,0,0
jeff-wilson,2018,SanFrancisco49ers,6,12,98,8.2,24,0,5,41.67,1,0
ced-wilson,2018,DallasCowboys,--,--,--,--,--,--,--,--,--,--
albert-wilson,2018,MiamiDolphins,7,26,391,15,75,4,11,42.31,7,3
derrick-willies,2018,ClevelandBrowns,5,3,61,20.3,39,0,2,66.67,1,0
tyrell-williams,2018,LosAngelesChargers,16,41,653,15.9,75,5,30,73.17,11,4
maxx-williams,2018,BaltimoreRavens,13,16,143,8.9,25,1,7,43.75,3,0
jonathan-williams,2018,IndianapolisColts,3,1,1,1,1,0,0,0,0,0
jamaal-williams,2018,GreenBayPackers,16,27,210,7.8,26,0,11,40.74,2,0
darrel-williams,2018,KansasCityChiefs,6,3,27,9,11,1,1,33.33,0,0
damien-williams,2018,KansasCityChiefs,16,23,160,7,32,2,9,39.13,1,0
chad-williams,2018,ArizonaCardinals,10,17,171,10.1,22,1,9,52.94,1,0
jordan-wilkins,2018,IndianapolisColts,16,16,85,5.3,17,0,2,12.5,0,0
mike-williams,2018,LosAngelesChargers,16,43,664,15.4,55,10,36,83.72,11,2
cole-wick,2018,TennesseeTitans,5,0,0,0,--,0,0,0,0,0
andrew-whitworth,2018,LosAngelesRams,16,--,--,--,--,--,--,--,--,--
tim-white,2018,BaltimoreRavens,3,1,14,14,14,0,1,100,0,0
kevin-white,2018,ChicagoBears,9,4,92,23,54,0,3,75,2,1
james-white,2018,NewEnglandPatriots,16,87,751,8.6,42,7,38,43.68,3,1
deandrew-white,2018,CarolinaPanthers,--,--,--,--,--,--,--,--,--,--
leonard-wester,2018,TampaBayBuccaneers,16,--,--,--,--,--,--,--,--,--
dede-westbrook,2018,JacksonvilleJaguars,16,66,717,10.9,61,5,38,57.58,15,1
carson-wentz,2018,PhiladelphiaEagles,11,1,4,4,4,0,1,100,0,0
joe-webb,2018,HoustonTexans,16,2,13,6.5,7,0,0,0,0,0
j-j-watt,2018,HoustonTexans,16,--,--,--,--,--,--,--,--,--
derek-watt,2018,LosAngelesChargers,16,1,2,2,2,0,0,0,0,0
justin-watson,2018,TampaBayBuccaneers,12,1,5,5,5,0,0,0,0,0
deshaun-watson,2018,HoustonTexans,16,--,--,--,--,--,--,--,--,--
benjamin-watson,2018,NewOrleansSaints,16,35,400,11.4,32,2,21,60,6,0
sammy-watkins,2018,KansasCityChiefs,10,40,519,13,50,3,24,60,7,2
james-washington,2018,PittsburghSteelers,14,16,217,13.6,47,1,10,62.5,3,1
dwayne-washington,2018,NewOrleansSaints,13,--,--,--,--,--,--,--,--,--
deandre-washington,2018,OaklandRaiders,10,1,9,9,9,0,0,0,0,0
spencer-ware,2018,KansasCityChiefs,13,20,224,11.2,31,0,9,45,4,0
greg-ward,2018,PhiladelphiaEagles,--,--,--,--,--,--,--,--,--,--
darren-waller,2018,OaklandRaiders,4,6,75,12.5,44,0,4,66.67,1,1
delanie-walker,2018,TennesseeTitans,1,4,52,13,16,0,4,100,0,0
clive-walford,2018,NewYorkJets,1,--,--,--,--,--,--,--,--,--
t-j-yeldon,2018,JacksonvilleJaguars,14,55,487,8.9,37,4,21,38.18,4,0
deon-yelder,2018,KansasCityChiefs,3,--,--,--,--,--,--,--,--,--
brandon-zylstra,2018,MinnesotaVikings,16,1,23,23,23,0,1,100,1,0
kevin-zeitler,2018,ClevelandBrowns,16,--,--,--,--,--,--,--,--,--
